dataset,year,method,rho,AS
PM,2020,RANDOM,0.7,0.680083
PM,2020,RANDOM,0.8,0.799926
PM,2020,RANDOM,0.9,0.880258
PM,2020,RANDOM_ALL_COMPULSORY,0.1,0.078406
PM,2020,RANDOM_ALL_COMPULSORY,0.2,0.199667
PM,2020,RANDOM_ALL_COMPULSORY,0.3,0.283188
PM,2020,RANDOM_ALL_COMPULSORY,0.4,0.396618
PM,2020,RANDOM_ALL_COMPULSORY,0.5,0.482091
PM,2020,RANDOM_ALL_COMPULSORY,0.6,0.599473
PM,2020,RANDOM_ALL_COMPULSORY,0.7,0.680083
PM,2020,RANDOM_ALL_COMPULSORY,0.8,0.799926
PM,2020,RANDOM_ALL_COMPULSORY,0.9,0.880258
PM,2020,NESTED_TIMING,0.1,0.099366
PM,2020,NESTED_TIMING,0.2,0.248009
PM,2020,NESTED_TIMING,0.3,0.345187
PM,2020,NESTED_TIMING,0.4,0.493749
PM,2020,NESTED_TIMING,0.5,0.595616
PM,2020,NESTED_TIMING,0.6,0.730833
PM,2020,NESTED_TIMING,0.7,0.840833
PM,2020,NESTED_TIMING,0.8,0.923333
PM,2020,NESTED_TIMING,0.9,0.988333
PM,2021,B0,0.1,0.227273
PM,2021,B0,0.2,0.429545
PM,2021,B0,0.3,0.519318
PM,2021,B0,0.4,0.594318
PM,2021,B0,0.5,0.689773
PM,2021,B0,0.6,0.812500
PM,2021,B0,0.7,0.910227
PM,2021,B0,0.8,0.984091
PM,2021,B0,0.9,1.000000
PM,2021,B1,0.1,0.177695
PM,2021,B1,0.2,0.403672
PM,2021,B1,0.3,0.537060
PM,2021,B1,0.4,0.712300
PM,2021,B1,0.5,0.809091
PM,2021,B1,0.6,0.914998
PM,2021,B1,0.7,0.962218
PM,2021,B1,0.8,1.000000
PM,2021,B1,0.9,1.000000
PM,2021,S1,0.1,0.177695
PM,2021,S1,0.2,0.403672
PM,2021,S1,0.3,0.537060
PM,2021,S1,0.4,0.712300
PM,2021,S1,0.5,0.809091
PM,2021,S1,0.6,0.952273
PM,2021,S1,0.7,0.984091
PM,2021,S1,0.8,1.000000
PM,2021,S1,0.9,1.000000
PM,2021,S2,0.1,0.077273
PM,2021,S2,0.2,0.085514
PM,2021,S2,0.3,0.181215
PM,2021,S2,0.4,0.420265
PM,2021,S2,0.5,0.554565
PM,2021,S2,0.6,0.733015
PM,2021,S2,0.7,0.835242
PM,2021,S2,0.8,0.930152
PM,2021,S2,0.9,0.975875
PM,2021,M2,0.1,0.177819
PM,2021,M2,0.2,0.407495
PM,2021,M2,0.3,0.541210
PM,2021,M2,0.4,0.715795
PM,2021,M2,0.5,0.813268
PM,2021,M2,0.6,0.896552
PM,2021,M2,0.7,0.953466
PM,2021,M2,0.8,1.000000
PM,2021,M2,0.9,1.000000
PM,2021,M3,0.1,0.178934
PM,2021,M3,0.2,0.411594
PM,2021,M3,0.3,0.545042
PM,2021,M3,0.4,0.717910
PM,2021,M3,0.5,0.813828
PM,2021,M3,0.6,0.918015
PM,2021,M3,0.7,0.984091
PM,2021,M3,0.8,1.000000
PM,2021,M3,0.9,1.000000
PM,2021,RANDOM,0.1,0.126874
PM,2021,RANDOM,0.2,0.307414
PM,2021,RANDOM,0.3,0.419423
PM,2021,RANDOM,0.4,0.565423
PM,2021,RANDOM,0.5,0.660576
PM,2021,RANDOM,0.6,0.778694
PM,2021,RANDOM,0.7,0.848730
PM,2021,RANDOM,0.8,0.935198
PM,2021,RANDOM,0.9,0.975502
PM,2021,RANDOM_ALL_COMPULSORY,0.1,0.078030
PM,2021,RANDOM_ALL_COMPULSORY,0.2,0.200284
PM,2021,RANDOM_ALL_COMPULSORY,0.3,0.282166
PM,2021,RANDOM_ALL_COMPULSORY,0.4,0.398057
PM,2021,RANDOM_ALL_COMPULSORY,0.5,0.483493
PM,2021,RANDOM_ALL_COMPULSORY,0.6,0.599858
PM,2021,RANDOM_ALL_COMPULSORY,0.7,0.678727
PM,2021,RANDOM_ALL_COMPULSORY,0.8,0.798327
PM,2021,RANDOM_ALL_COMPULSORY,0.9,0.879470
PM,2021,NESTED_TIMING,0.1,0.177695
PM,2021,NESTED_TIMING,0.2,0.403672
PM,2021,NESTED_TIMING,0.3,0.537060
PM,2021,NESTED_TIMING,0.4,0.712300
PM,2021,NESTED_TIMING,0.5,0.809091
PM,2021,NESTED_TIMING,0.6,0.952273
PM,2021,NESTED_TIMING,0.7,0.984091
PM,2021,NESTED_TIMING,0.8,1.000000
PM,2021,NESTED_TIMING,0.9,1.000000
PM,2022,B0,0.1,0.079545
PM,2022,B0,0.2,0.156818
PM,2022,B0,0.3,0.254545
PM,2022,B0,0.4,0.420455
PM,2022,B0,0.5,0.621591
PM,2022,B0,0.6,0.727273
PM,2022,B0,0.7,0.800000
PM,2022,B0,0.8,0.914773
PM,2022,B0,0.9,0.957955
PM,2022,B1,0.1,0.185990
PM,2022,B1,0.2,0.439481
PM,2022,B1,0.3,0.582376
PM,2022,B1,0.4,0.766147
PM,2022,B1,0.5,0.875000
PM,2022,B1,0.6,0.928611
PM,2022,B1,0.7,0.967770
PM,2022,B1,0.8,1.000000
PM,2022,B1,0.9,1.000000
PM,2022,S1,0.1,0.185990
PM,2022,S1,0.2,0.439481
PM,2022,S1,0.3,0.582376
PM,2022,S1,0.4,0.766147
PM,2022,S1,0.5,0.875000
PM,2022,S1,0.6,0.940909
PM,2022,S1,0.7,0.977273
