dataset,year,method,rho,AS
PHY,2017,NESTED_TIMING,0.2,0.444500
PHY,2017,NESTED_TIMING,0.3,0.573250
PHY,2017,NESTED_TIMING,0.4,0.714474
PHY,2017,NESTED_TIMING,0.5,0.897000
PHY,2017,NESTED_TIMING,0.6,0.930580
PHY,2017,NESTED_TIMING,0.7,0.954500
PHY,2017,NESTED_TIMING,0.8,1.000000
PHY,2017,NESTED_TIMING,0.9,1.000000
PHY,2018,B0,0.1,0.104000
PHY,2018,B0,0.2,0.259750
PHY,2018,B0,0.3,0.506250
PHY,2018,B0,0.4,0.565750
PHY,2018,B0,0.5,0.655000
PHY,2018,B0,0.6,0.725000
PHY,2018,B0,0.7,0.783750
PHY,2018,B0,0.8,0.826250
PHY,2018,B0,0.9,0.859500
PHY,2018,B1,0.1,0.214978
PHY,2018,B1,0.2,0.551212
PHY,2018,B1,0.3,0.800748
PHY,2018,B1,0.4,0.837762
PHY,2018,B1,0.5,0.897810
PHY,2018,B1,0.6,0.960633
PHY,2018,B1,0.7,1.000000
PHY,2018,B1,0.8,1.000000
PHY,2018,B1,0.9,1.000000
PHY,2018,S1,0.1,0.214978
PHY,2018,S1,0.2,0.529500
PHY,2018,S1,0.3,0.554500
PHY,2018,S1,0.4,0.683000
PHY,2018,S1,0.5,0.821750
PHY,2018,S1,0.6,0.891750
PHY,2018,S1,0.7,0.965000
PHY,2018,S1,0.8,1.000000
PHY,2018,S1,0.9,1.000000
PHY,2018,S2,0.1,0.279250
PHY,2018,S2,0.2,0.387000
PHY,2018,S2,0.3,0.609933
PHY,2018,S2,0.4,0.851969
PHY,2018,S2,0.5,0.919989
PHY,2018,S2,0.6,0.940088
PHY,2018,S2,0.7,0.985129
PHY,2018,S2,0.8,1.000000
PHY,2018,S2,0.9,1.000000
PHY,2018,M2,0.1,0.242002
PHY,2018,M2,0.2,0.513837
PHY,2018,M2,0.3,0.703250
PHY,2018,M2,0.4,0.850885
PHY,2018,M2,0.5,0.895805
PHY,2018,M2,0.6,0.944250
PHY,2018,M2,0.7,1.000000
PHY,2018,M2,0.8,1.000000
PHY,2018,M2,0.9,1.000000
PHY,2018,M3,0.1,0.266515
PHY,2018,M3,0.2,0.470341
PHY,2018,M3,0.3,0.703250
PHY,2018,M3,0.4,0.819086
PHY,2018,M3,0.5,0.872712
PHY,2018,M3,0.6,0.920750
PHY,2018,M3,0.7,1.000000
PHY,2018,M3,0.8,1.000000
PHY,2018,M3,0.9,1.000000
PHY,2018,RANDOM,0.1,0.141458
PHY,2018,RANDOM,0.2,0.326190
PHY,2018,RANDOM,0.3,0.482442
PHY,2018,RANDOM,0.4,0.611867
PHY,2018,RANDOM,0.5,0.739667
PHY,2018,RANDOM,0.6,0.812811
PHY,2018,RANDOM,0.7,0.904074
PHY,2018,RANDOM,0.8,0.963341
PHY,2018,RANDOM,0.9,0.993697
PHY,2018,RANDOM_ALL_COMPULSORY,0.1,0.077492
PHY,2018,RANDOM_ALL_COMPULSORY,0.2,0.183989
PHY,2018,RANDOM_ALL_COMPULSORY,0.3,0.290602
PHY,2018,RANDOM_ALL_COMPULSORY,0.4,0.392434
PHY,2018,RANDOM_ALL_COMPULSORY,0.5,0.502583
PHY,2018,RANDOM_ALL_COMPULSORY,0.6,0.582352
PHY,2018,RANDOM_ALL_COMPULSORY,0.7,0.687902
PHY,2018,RANDOM_ALL_COMPULSORY,0.8,0.788121
PHY,2018,RANDOM_ALL_COMPULSORY,0.9,0.894482
PHY,2018,NESTED_TIMING,0.1,0.266515
PHY,2018,NESTED_TIMING,0.2,0.470341
PHY,2018,NESTED_TIMING,0.3,0.703250
PHY,2018,NESTED_TIMING,0.4,0.819086
PHY,2018,NESTED_TIMING,0.5,0.872712
PHY,2018,NESTED_TIMING,0.6,0.920750
PHY,2018,NESTED_TIMING,0.7,1.000000
PHY,2018,NESTED_TIMING,0.8,1.000000
PHY,2018,NESTED_TIMING,0.9,1.000000
PHY,2019,B0,0.1,0.250250
PHY,2019,B0,0.2,0.380250
PHY,2019,B0,0.3,0.417750
PHY,2019,B0,0.4,0.460250
PHY,2019,B0,0.5,0.612750
PHY,2019,B0,0.6,0.809000
PHY,2019,B0,0.7,0.875500
PHY,2019,B0,0.8,0.893000
PHY,2019,B0,0.9,0.993000
PHY,2019,B1,0.1,0.183925
PHY,2019,B1,0.2,0.373214
PHY,2019,B1,0.3,0.505029
PHY,2019,B1,0.4,0.633346
PHY,2019,B1,0.5,0.770580
PHY,2019,B1,0.6,0.873996
PHY,2019,B1,0.7,0.966750
PHY,2019,B1,0.8,0.984250
PHY,2019,B1,0.9,1.000000
PHY,2019,S1,0.1,0.183925
PHY,2019,S1,0.2,0.389000
PHY,2019,S1,0.3,0.598000
PHY,2019,S1,0.4,0.706500
PHY,2019,S1,0.5,0.820250
PHY,2019,S1,0.6,0.949250
PHY,2019,S1,0.7,0.959750
PHY,2019,S1,0.8,0.984250
PHY,2019,S1,0.9,1.000000
PHY,2019,S2,0.1,0.168000
PHY,2019,S2,0.2,0.309000
PHY,2019,S2,0.3,0.519290
PHY,2019,S2,0.4,0.666740
PHY,2019,S2,0.5,0.773417
PHY,2019,S2,0.6,0.841345
PHY,2019,S2,0.7,0.923536
PHY,2019,S2,0.8,1.000000
PHY,2019,S2,0.9,1.000000
PHY,2019,M2,0.1,0.172084
PHY,2019,M2,0.2,0.396686
PHY,2019,M2,0.3,0.580000
PHY,2019,M2,0.4,0.645500
PHY,2019,M2,0.5,0.735047
PHY,2019,M2,0.6,0.890250
PHY,2019,M2,0.7,0.966750
PHY,2019,M2,0.8,1.000000
PHY,2019,M2,0.9,1.000000
PHY,2019,M3,0.1,0.159414
PHY,2019,M3,0.2,0.470250
PHY,2019,M3,0.3,0.580000
PHY,2019,M3,0.4,0.695700
PHY,2019,M3,0.5,0.793462
PHY,2019,M3,0.6,0.893263
PHY,2019,M3,0.7,0.966750
PHY,2019,M3,0.8,0.991967
PHY,2019,M3,0.9,1.000000
PHY,2019,RANDOM,0.1,0.138585
PHY,2019,RANDOM,0.2,0.323918
PHY,2019,RANDOM,0.3,0.470840
PHY,2019,RANDOM,0.4,0.607766
PHY,2019,RANDOM,0.5,0.729132
PHY,2019,RANDOM,0.6,0.805504
PHY,2019,RANDOM,0.7,0.898861
PHY,2019,RANDOM,0.8,0.960665
PHY,2019,RANDOM,0.9,0.994055
PHY,2019,RANDOM_ALL_COMPULSORY,0.1,0.078733
PHY,2019,RANDOM_ALL_COMPULSORY,0.2,0.187983
PHY,2019,RANDOM_ALL_COMPULSORY,0.3,0.287617
PHY,2019,RANDOM_ALL_COMPULSORY,0.4,0.393443
PHY,2019,RANDOM_ALL_COMPULSORY,0.5,0.500231
PHY,2019,RANDOM_ALL_COMPULSORY,0.6,0.575882
PHY,2019,RANDOM_ALL_COMPULSORY,0.7,0.686886
PHY,2019,RANDOM_ALL_COMPULSORY,0.8,0.788326
PHY,2019,RANDOM_ALL_COMPULSORY,0.9,0.892403
PHY,2019,NESTED_TIMING,0.1,0.159414
PHY,2019,NESTED_TIMING,0.2,0.470250
PHY,2019,NESTED_TIMING,0.3,0.580000
PHY,2019,NESTED_TIMING,0.4,0.695700
PHY,2019,NESTED_TIMING,0.5,0.793462
PHY,2019,NESTED_TIMING,0.6,0.893263
PHY,2019,NESTED_TIMING,0.7,0.966750
PHY,2019,NESTED_TIMING,0.8,0.991967
PHY,2019,NESTED_TIMING,0.9,1.000000
PHY,2020,B0,0.1,0.072500
PHY,2020,B0,0.2,0.130000
PHY,2020,B0,0.3,0.445250
PHY,2020,B0,0.4,0.739000
PHY,2020,B0,0.5,0.824500
PHY,2020,B0,0.6,0.864500
PHY,2020,B0,0.7,0.937000
PHY,2020,B0,0.8,1.000000
PHY,2020,B0,0.9,1.000000
PHY,2020,B1,0.1,0.271675
PHY,2020,B1,0.2,0.496876
PHY,2020,B1,0.3,0.615588
PHY,2020,B1,0.4,0.764500
PHY,2020,B1,0.5,0.847139
PHY,2020,B1,0.6,0.920500
PHY,2020,B1,0.7,0.960500
PHY,2020,B1,0.8,0.983000
PHY,2020,B1,0.9,1.000000
PHY,2020,S1,0.1,0.271675
PHY,2020,S1,0.2,0.530750
PHY,2020,S1,0.3,0.740000
PHY,2020,S1,0.4,0.774500
PHY,2020,S1,0.5,0.822500
PHY,2020,S1,0.6,0.860000
PHY,2020,S1,0.7,0.938000
PHY,2020,S1,0.8,0.983000
PHY,2020,S1,0.9,1.000000
PHY,2020,S2,0.1,0.103000
PHY,2020,S2,0.2,0.240500
PHY,2020,S2,0.3,0.579774
PHY,2020,S2,0.4,0.702088
PHY,2020,S2,0.5,0.806568
PHY,2020,S2,0.6,0.898746
PHY,2020,S2,0.7,0.985915
PHY,2020,S2,0.8,1.000000
PHY,2020,S2,0.9,1.000000
PHY,2020,M2,0.1,0.269407
PHY,2020,M2,0.2,0.539384
PHY,2020,M2,0.3,0.652000
PHY,2020,M2,0.4,0.775727
PHY,2020,M2,0.5,0.857500
PHY,2020,M2,0.6,0.913000
PHY,2020,M2,0.7,0.960500
PHY,2020,M2,0.8,0.983000
PHY,2020,M2,0.9,1.000000
PHY,2020,M3,0.1,0.268519
PHY,2020,M3,0.2,0.514590
PHY,2020,M3,0.3,0.652000
PHY,2020,M3,0.4,0.764500
PHY,2020,M3,0.5,0.870888
PHY,2020,M3,0.6,0.940712
PHY,2020,M3,0.7,0.960500
PHY,2020,M3,0.8,0.983000
PHY,2020,M3,0.9,1.000000
PHY,2020,RANDOM,0.1,0.134134
PHY,2020,RANDOM,0.2,0.312730
PHY,2020,RANDOM,0.3,0.457551
PHY,2020,RANDOM,0.4,0.592367
PHY,2020,RANDOM,0.5,0.706432
PHY,2020,RANDOM,0.6,0.782490
PHY,2020,RANDOM,0.7,0.883590
PHY,2020,RANDOM,0.8,0.953164
PHY,2020,RANDOM,0.9,0.992274
PHY,2020,RANDOM_ALL_COMPULSORY,0.1,0.073967
PHY,2020,RANDOM_ALL_COMPULSORY,0.2,0.179615
PHY,2020,RANDOM_ALL_COMPULSORY,0.3,0.277782
PHY,2020,RANDOM_ALL_COMPULSORY,0.4,0.382078
PHY,2020,RANDOM_ALL_COMPULSORY,0.5,0.482100
PHY,2020,RANDOM_ALL_COMPULSORY,0.6,0.556143
PHY,2020,RANDOM_ALL_COMPULSORY,0.7,0.665461
PHY,2020,RANDOM_ALL_COMPULSORY,0.8,0.759908
PHY,2020,RANDOM_ALL_COMPULSORY,0.9,0.858815
PHY,2020,NESTED_TIMING,0.1,0.268519
PHY,2020,NESTED_TIMING,0.2,0.514590
PHY,2020,NESTED_TIMING,0.3,0.652000
PHY,2020,NESTED_TIMING,0.4,0.764500
PHY,2020,NESTED_TIMING,0.5,0.870888
PHY,2020,NESTED_TIMING,0.6,0.940712
PHY,2020,NESTED_TIMING,0.7,0.960500
PHY,2020,NESTED_TIMING,0.8,0.983000
PHY,2020,NESTED_TIMING,0.9,1.000000
PHY,2021,B0,0.1,0.131579
PHY,2021,B0,0.2,0.394737
PHY,2021,B0,0.3,0.582895
PHY,2021,B0,0.4,0.681579
PHY,2021,B0,0.5,1.000000
PHY,2021,B0,0.6,1.000000
PHY,2021,B0,0.7,1.000000
PHY,2021,B0,0.8,1.000000
PHY,2021,B0,0.9,1.000000
PHY,2021,B1,0.1,0.270240
PHY,2021,B1,0.2,0.509500
PHY,2021,B1,0.3,0.671966
PHY,2021,B1,0.4,0.748026
PHY,2021,B1,0.5,0.895072
PHY,2021,B1,0.6,0.961297
PHY,2021,B1,0.7,1.000000
PHY,2021,B1,0.8,1.000000
PHY,2021,B1,0.9,1.000000
PHY,2021,S1,0.1,0.270240
PHY,2021,S1,0.2,0.544408
PHY,2021,S1,0.3,0.730921
PHY,2021,S1,0.4,0.782895
PHY,2021,S1,0.5,0.939474
PHY,2021,S1,0.6,0.992105
PHY,2021,S1,0.7,1.000000
PHY,2021,S1,0.8,1.000000
PHY,2021,S1,0.9,1.000000
PHY,2021,S2,0.1,0.165789
PHY,2021,S2,0.2,0.273684
PHY,2021,S2,0.3,0.595008
PHY,2021,S2,0.4,0.749013
PHY,2021,S2,0.5,0.820188
PHY,2021,S2,0.6,0.895634
PHY,2021,S2,0.7,1.000000
PHY,2021,S2,0.8,1.000000
PHY,2021,S2,0.9,1.000000
PHY,2021,M2,0.1,0.243038
PHY,2021,M2,0.2,0.452303
PHY,2021,M2,0.3,0.666889
PHY,2021,M2,0.4,0.744493
PHY,2021,M2,0.5,0.914783
PHY,2021,M2,0.6,0.992105
PHY,2021,M2,0.7,1.000000
PHY,2021,M2,0.8,1.000000
PHY,2021,M2,0.9,1.000000
PHY,2021,M3,0.1,0.270240
PHY,2021,M3,0.2,0.495776
PHY,2021,M3,0.3,0.648026
PHY,2021,M3,0.4,0.748026
PHY,2021,M3,0.5,0.893421
PHY,2021,M3,0.6,0.969079
PHY,2021,M3,0.7,1.000000
PHY,2021,M3,0.8,1.000000
PHY,2021,M3,0.9,1.000000
PHY,2021,RANDOM,0.1,0.211935
PHY,2021,RANDOM,0.2,0.458420
PHY,2021,RANDOM,0.3,0.643348
PHY,2021,RANDOM,0.4,0.778984
PHY,2021,RANDOM,0.5,0.888767
PHY,2021,RANDOM,0.6,0.940440
PHY,2021,RANDOM,0.7,0.986336
PHY,2021,RANDOM,0.8,0.998867
PHY,2021,RANDOM,0.9,0.999970
PHY,2021,RANDOM_ALL_COMPULSORY,0.1,0.078018
PHY,2021,RANDOM_ALL_COMPULSORY,0.2,0.183289
PHY,2021,RANDOM_ALL_COMPULSORY,0.3,0.289687
PHY,2021,RANDOM_ALL_COMPULSORY,0.4,0.394349
PHY,2021,RANDOM_ALL_COMPULSORY,0.5,0.500750
PHY,2021,RANDOM_ALL_COMPULSORY,0.6,0.578877
PHY,2021,RANDOM_ALL_COMPULSORY,0.7,0.687312
PHY,2021,RANDOM_ALL_COMPULSORY,0.8,0.792104
PHY,2021,RANDOM_ALL_COMPULSORY,0.9,0.894260
PHY,2021,NESTED_TIMING,0.1,0.270240
PHY,2021,NESTED_TIMING,0.2,0.495776
PHY,2021,NESTED_TIMING,0.3,0.648026
PHY,2021,NESTED_TIMING,0.4,0.748026
PHY,2021,NESTED_TIMING,0.5,0.893421
PHY,2021,NESTED_TIMING,0.6,0.969079
PHY,2021,NESTED_TIMING,0.7,1.000000
PHY,2021,NESTED_TIMING,0.8,1.000000
PHY,2021,NESTED_TIMING,0.9,1.000000
PHY,2022,B0,0.1,0.023026
PHY,2022,B0,0.2,0.230921
PHY,2022,B0,0.3,0.521053
PHY,2022,B0,0.4,0.726974
PHY,2022,B0,0.5,0.798684
PHY,2022,B0,0.6,0.869079
PHY,2022,B0,0.7,0.978289
PHY,2022,B0,0.8,1.000000
PHY,2022,B0,0.9,1.000000
PHY,2022,B1,0.1,0.323064
PHY,2022,B1,0.2,0.651645
PHY,2022,B1,0.3,0.769285
PHY,2022,B1,0.4,0.832895
PHY,2022,B1,0.5,0.936436
PHY,2022,B1,0.6,0.986796
PHY,2022,B1,0.7,1.000000
PHY,2022,B1,0.8,1.000000
PHY,2022,B1,0.9,1.000000
PHY,2022,S1,0.1,0.323064
PHY,2022,S1,0.2,0.651645
PHY,2022,S1,0.3,0.766776
PHY,2022,S1,0.4,0.891447
PHY,2022,S1,0.5,0.980263
PHY,2022,S1,0.6,1.000000
PHY,2022,S1,0.7,1.000000
PHY,2022,S1,0.8,1.000000
PHY,2022,S1,0.9,1.000000
PHY,2022,S2,0.1,0.242434
PHY,2022,S2,0.2,0.495078
PHY,2022,S2,0.3,0.707566
PHY,2022,S2,0.4,0.821805
PHY,2022,S2,0.5,0.877232
PHY,2022,S2,0.6,0.942957
PHY,2022,S2,0.7,1.000000
PHY,2022,S2,0.8,1.000000
PHY,2022,S2,0.9,1.000000
PHY,2022,M2,0.1,0.329235
PHY,2022,M2,0.2,0.661908
PHY,2022,M2,0.3,0.816117
PHY,2022,M2,0.4,0.892763
PHY,2022,M2,0.5,0.958553
PHY,2022,M2,0.6,1.000000
PHY,2022,M2,0.7,1.000000
PHY,2022,M2,0.8,1.000000
PHY,2022,M2,0.9,1.000000
PHY,2022,M3,0.1,0.323064
PHY,2022,M3,0.2,0.651645
PHY,2022,M3,0.3,0.799671
PHY,2022,M3,0.4,0.832895
PHY,2022,M3,0.5,0.915132
PHY,2022,M3,0.6,0.958553
PHY,2022,M3,0.7,1.000000
PHY,2022,M3,0.8,1.000000
PHY,2022,M3,0.9,1.000000
PHY,2022,RANDOM,0.1,0.209035
PHY,2022,RANDOM,0.2,0.442179
PHY,2022,RANDOM,0.3,0.605553
PHY,2022,RANDOM,0.4,0.741188
PHY,2022,RANDOM,0.5,0.848522
PHY,2022,RANDOM,0.6,0.909054
PHY,2022,RANDOM,0.7,0.971265
PHY,2022,RANDOM,0.8,0.996183
PHY,2022,RANDOM,0.9,0.999919
PHY,2022,RANDOM_ALL_COMPULSORY,0.1,0.078190
PHY,2022,RANDOM_ALL_COMPULSORY,0.2,0.184736
PHY,2022,RANDOM_ALL_COMPULSORY,0.3,0.288803
PHY,2022,RANDOM_ALL_COMPULSORY,0.4,0.394172
PHY,2022,RANDOM_ALL_COMPULSORY,0.5,0.500863
PHY,2022,RANDOM_ALL_COMPULSORY,0.6,0.577379
PHY,2022,RANDOM_ALL_COMPULSORY,0.7,0.686702
PHY,2022,RANDOM_ALL_COMPULSORY,0.8,0.791583
PHY,2022,RANDOM_ALL_COMPULSORY,0.9,0.893250
PHY,2022,NESTED_TIMING,0.1,0.323064
PHY,2022,NESTED_TIMING,0.2,0.651645
PHY,2022,NESTED_TIMING,0.3,0.766776
PHY,2022,NESTED_TIMING,0.4,0.891447
PHY,2022,NESTED_TIMING,0.5,0.980263
PHY,2022,NESTED_TIMING,0.6,1.000000
PHY,2022,NESTED_TIMING,0.7,1.000000
PHY,2022,NESTED_TIMING,0.8,1.000000
PHY,2022,NESTED_TIMING,0.9,1.000000
PHY,2023,B0,0.1,0.195000
PHY,2023,B0,0.2,0.546500
PHY,2023,B0,0.3,0.669000
PHY,2023,B0,0.4,0.729500
PHY,2023,B0,0.5,0.855750
PHY,2023,B0,0.6,0.873250
PHY,2023,B0,0.7,0.947250
PHY,2023,B0,0.8,0.986000
PHY,2023,B0,0.9,1.000000
PHY,2023,B1,0.1,0.210630
PHY,2023,B1,0.2,0.541250
PHY,2023,B1,0.3,0.697724
PHY,2023,B1,0.4,0.857443
PHY,2023,B1,0.5,0.963910
PHY,2023,B1,0.6,0.992500
PHY,2023,B1,0.7,1.000000
PHY,2023,B1,0.8,1.000000
PHY,2023,B1,0.9,1.000000
PHY,2023,S1,0.1,0.210630
PHY,2023,S1,0.2,0.466250
PHY,2023,S1,0.3,0.648250
PHY,2023,S1,0.4,0.864750
PHY,2023,S1,0.5,0.969750
PHY,2023,S1,0.6,0.992500
PHY,2023,S1,0.7,1.000000
PHY,2023,S1,0.8,1.000000
PHY,2023,S1,0.9,1.000000
PHY,2023,S2,0.1,0.089250
PHY,2023,S2,0.2,0.256750
PHY,2023,S2,0.3,0.541500
PHY,2023,S2,0.4,0.777724
PHY,2023,S2,0.5,0.901364
PHY,2023,S2,0.6,0.963220
PHY,2023,S2,0.7,1.000000
PHY,2023,S2,0.8,1.000000
PHY,2023,S2,0.9,1.000000
PHY,2023,M2,0.1,0.234555
PHY,2023,M2,0.2,0.598970
PHY,2023,M2,0.3,0.786194
PHY,2023,M2,0.4,0.840000
PHY,2023,M2,0.5,0.972500
PHY,2023,M2,0.6,0.975000
PHY,2023,M2,0.7,1.000000
PHY,2023,M2,0.8,1.000000
PHY,2023,M2,0.9,1.000000
PHY,2023,M3,0.1,0.250582
PHY,2023,M3,0.2,0.541250
PHY,2023,M3,0.3,0.768139
PHY,2023,M3,0.4,0.837250
PHY,2023,M3,0.5,0.950795
PHY,2023,M3,0.6,0.992500
PHY,2023,M3,0.7,1.000000
PHY,2023,M3,0.8,1.000000
PHY,2023,M3,0.9,1.000000
PHY,2023,RANDOM,0.1,0.160762
PHY,2023,RANDOM,0.2,0.369941
PHY,2023,RANDOM,0.3,0.535845
PHY,2023,RANDOM,0.4,0.681029
PHY,2023,RANDOM,0.5,0.801537
PHY,2023,RANDOM,0.6,0.871802
PHY,2023,RANDOM,0.7,0.948513
PHY,2023,RANDOM,0.8,0.987090
PHY,2023,RANDOM,0.9,0.999421
PHY,2023,RANDOM_ALL_COMPULSORY,0.1,0.077963
PHY,2023,RANDOM_ALL_COMPULSORY,0.2,0.186686
PHY,2023,RANDOM_ALL_COMPULSORY,0.3,0.288709
PHY,2023,RANDOM_ALL_COMPULSORY,0.4,0.396430
PHY,2023,RANDOM_ALL_COMPULSORY,0.5,0.501180
PHY,2023,RANDOM_ALL_COMPULSORY,0.6,0.577721
PHY,2023,RANDOM_ALL_COMPULSORY,0.7,0.687475
PHY,2023,RANDOM_ALL_COMPULSORY,0.8,0.790242
PHY,2023,RANDOM_ALL_COMPULSORY,0.9,0.892484
PHY,2023,NESTED_TIMING,0.1,0.210630
PHY,2023,NESTED_TIMING,0.2,0.466250
PHY,2023,NESTED_TIMING,0.3,0.648250
PHY,2023,NESTED_TIMING,0.4,0.864750
PHY,2023,NESTED_TIMING,0.5,0.969750
PHY,2023,NESTED_TIMING,0.6,0.992500
PHY,2023,NESTED_TIMING,0.7,1.000000
PHY,2023,NESTED_TIMING,0.8,1.000000
PHY,2023,NESTED_TIMING,0.9,1.000000
PHY,2024,B0,0.1,0.125000
PHY,2024,B0,0.2,0.320250
PHY,2024,B0,0.3,0.526500
PHY,2024,B0,0.4,0.733000
PHY,2024,B0,0.5,0.838500
PHY,2024,B0,0.6,0.872000
PHY,2024,B0,0.7,0.967500
PHY,2024,B0,0.8,0.985000
PHY,2024,B0,0.9,1.000000
PHY,2024,B1,0.1,0.226984
PHY,2024,B1,0.2,0.546250
PHY,2024,B1,0.3,0.683449
PHY,2024,B1,0.4,0.784762
PHY,2024,B1,0.5,0.847500
PHY,2024,B1,0.6,0.954500
PHY,2024,B1,0.7,1.000000
PHY,2024,B1,0.8,1.000000
PHY,2024,B1,0.9,1.000000
PHY,2024,S1,0.1,0.226984
PHY,2024,S1,0.2,0.473500
PHY,2024,S1,0.3,0.645250
PHY,2024,S1,0.4,0.706750
PHY,2024,S1,0.5,0.894500
PHY,2024,S1,0.6,0.942000
PHY,2024,S1,0.7,0.987500
PHY,2024,S1,0.8,1.000000
PHY,2024,S1,0.9,1.000000
PHY,2024,S2,0.1,0.120500
PHY,2024,S2,0.2,0.363000
PHY,2024,S2,0.3,0.669500
PHY,2024,S2,0.4,0.864132
PHY,2024,S2,0.5,0.944500
PHY,2024,S2,0.6,0.985844
PHY,2024,S2,0.7,1.000000
PHY,2024,S2,0.8,1.000000
PHY,2024,S2,0.9,1.000000
PHY,2024,M2,0.1,0.272648
PHY,2024,M2,0.2,0.549257
PHY,2024,M2,0.3,0.696250
PHY,2024,M2,0.4,0.792500
PHY,2024,M2,0.5,0.907500
PHY,2024,M2,0.6,0.954500
PHY,2024,M2,0.7,1.000000
PHY,2024,M2,0.8,1.000000
PHY,2024,M2,0.9,1.000000
PHY,2024,M3,0.1,0.303732
PHY,2024,M3,0.2,0.546250
PHY,2024,M3,0.3,0.687526
PHY,2024,M3,0.4,0.776744
PHY,2024,M3,0.5,0.847500
PHY,2024,M3,0.6,0.907500
PHY,2024,M3,0.7,1.000000
PHY,2024,M3,0.8,1.000000
PHY,2024,M3,0.9,1.000000
PHY,2024,RANDOM,0.1,0.160018
PHY,2024,RANDOM,0.2,0.359072
PHY,2024,RANDOM,0.3,0.529435
PHY,2024,RANDOM,0.4,0.666034
PHY,2024,RANDOM,0.5,0.784763
PHY,2024,RANDOM,0.6,0.856373
PHY,2024,RANDOM,0.7,0.942703
PHY,2024,RANDOM,0.8,0.986611
PHY,2024,RANDOM,0.9,0.999194
PHY,2024,RANDOM_ALL_COMPULSORY,0.1,0.077642
PHY,2024,RANDOM_ALL_COMPULSORY,0.2,0.183372
PHY,2024,RANDOM_ALL_COMPULSORY,0.3,0.291819
PHY,2024,RANDOM_ALL_COMPULSORY,0.4,0.396057
PHY,2024,RANDOM_ALL_COMPULSORY,0.5,0.502583
PHY,2024,RANDOM_ALL_COMPULSORY,0.6,0.580049
PHY,2024,RANDOM_ALL_COMPULSORY,0.7,0.690852
PHY,2024,RANDOM_ALL_COMPULSORY,0.8,0.789300
PHY,2024,RANDOM_ALL_COMPULSORY,0.9,0.892110
PHY,2024,NESTED_TIMING,0.1,0.272648
PHY,2024,NESTED_TIMING,0.2,0.549257
PHY,2024,NESTED_TIMING,0.3,0.696250
PHY,2024,NESTED_TIMING,0.4,0.792500
PHY,2024,NESTED_TIMING,0.5,0.907500
PHY,2024,NESTED_TIMING,0.6,0.954500
PHY,2024,NESTED_TIMING,0.7,1.000000
PHY,2024,NESTED_TIMING,0.8,1.000000
PHY,2024,NESTED_TIMING,0.9,1.000000
PHY,2025,B0,0.1,0.189000
PHY,2025,B0,0.2,0.511250
PHY,2025,B0,0.3,0.560000
PHY,2025,B0,0.4,0.732250
PHY,2025,B0,0.5,0.856750
PHY,2025,B0,0.6,0.892250
PHY,2025,B0,0.7,0.925000
PHY,2025,B0,0.8,1.000000
PHY,2025,B0,0.9,1.000000
PHY,2025,B1,0.1,0.456523
PHY,2025,B1,0.2,0.795500
PHY,2025,B1,0.3,0.897009
PHY,2025,B1,0.4,0.933345
PHY,2025,B1,0.5,0.955000
PHY,2025,B1,0.6,1.000000
PHY,2025,B1,0.7,1.000000
PHY,2025,B1,0.8,1.000000
PHY,2025,B1,0.9,1.000000
PHY,2025,S1,0.1,0.456523
PHY,2025,S1,0.2,0.722500
PHY,2025,S1,0.3,0.842250
PHY,2025,S1,0.4,0.901000
PHY,2025,S1,0.5,0.990000
PHY,2025,S1,0.6,0.990000
PHY,2025,S1,0.7,1.000000
PHY,2025,S1,0.8,1.000000
PHY,2025,S1,0.9,1.000000
PHY,2025,S2,0.1,0.110000
PHY,2025,S2,0.2,0.447573
PHY,2025,S2,0.3,0.845970
PHY,2025,S2,0.4,0.948425
PHY,2025,S2,0.5,0.978553
PHY,2025,S2,0.6,0.991878
PHY,2025,S2,0.7,1.000000
PHY,2025,S2,0.8,1.000000
PHY,2025,S2,0.9,1.000000
PHY,2025,M2,0.1,0.405792
PHY,2025,M2,0.2,0.757354
PHY,2025,M2,0.3,0.914000
PHY,2025,M2,0.4,0.925061
PHY,2025,M2,0.5,0.973000
PHY,2025,M2,0.6,1.000000
PHY,2025,M2,0.7,1.000000
PHY,2025,M2,0.8,1.000000
PHY,2025,M2,0.9,1.000000
PHY,2025,M3,0.1,0.456523
PHY,2025,M3,0.2,0.795500
PHY,2025,M3,0.3,0.903429
PHY,2025,M3,0.4,0.928758
PHY,2025,M3,0.5,0.955000
PHY,2025,M3,0.6,1.000000
PHY,2025,M3,0.7,1.000000
PHY,2025,M3,0.8,1.000000
PHY,2025,M3,0.9,1.000000
PHY,2025,RANDOM,0.1,0.158926
PHY,2025,RANDOM,0.2,0.364322
PHY,2025,RANDOM,0.3,0.537636
PHY,2025,RANDOM,0.4,0.686218
PHY,2025,RANDOM,0.5,0.806394
PHY,2025,RANDOM,0.6,0.876085
PHY,2025,RANDOM,0.7,0.953705
PHY,2025,RANDOM,0.8,0.988411
PHY,2025,RANDOM,0.9,0.998821
PHY,2025,RANDOM_ALL_COMPULSORY,0.1,0.077347
PHY,2025,RANDOM_ALL_COMPULSORY,0.2,0.184117
PHY,2025,RANDOM_ALL_COMPULSORY,0.3,0.289218
PHY,2025,RANDOM_ALL_COMPULSORY,0.4,0.396147
PHY,2025,RANDOM_ALL_COMPULSORY,0.5,0.501303
PHY,2025,RANDOM_ALL_COMPULSORY,0.6,0.577795
