dataset,year,method,rho,AS
PHY,2011,M3,0.9,1.000000
PHY,2011,RANDOM,0.1,0.142952
PHY,2011,RANDOM,0.2,0.326117
PHY,2011,RANDOM,0.3,0.483818
PHY,2011,RANDOM,0.4,0.618690
PHY,2011,RANDOM,0.5,0.739059
PHY,2011,RANDOM,0.6,0.811342
PHY,2011,RANDOM,0.7,0.901990
PHY,2011,RANDOM,0.8,0.965503
PHY,2011,RANDOM,0.9,0.993895
PHY,2011,RANDOM_ALL_COMPULSORY,0.1,0.078455
PHY,2011,RANDOM_ALL_COMPULSORY,0.2,0.183443
PHY,2011,RANDOM_ALL_COMPULSORY,0.3,0.289890
PHY,2011,RANDOM_ALL_COMPULSORY,0.4,0.395289
PHY,2011,RANDOM_ALL_COMPULSORY,0.5,0.503205
PHY,2011,RANDOM_ALL_COMPULSORY,0.6,0.578349
PHY,2011,RANDOM_ALL_COMPULSORY,0.7,0.685363
PHY,2011,RANDOM_ALL_COMPULSORY,0.8,0.790799
PHY,2011,RANDOM_ALL_COMPULSORY,0.9,0.895061
PHY,2011,NESTED_TIMING,0.1,0.183512
PHY,2011,NESTED_TIMING,0.2,0.405426
PHY,2011,NESTED_TIMING,0.3,0.550500
PHY,2011,NESTED_TIMING,0.4,0.717000
PHY,2011,NESTED_TIMING,0.5,0.796500
PHY,2011,NESTED_TIMING,0.6,0.912500
PHY,2011,NESTED_TIMING,0.7,0.965105
PHY,2011,NESTED_TIMING,0.8,1.000000
PHY,2011,NESTED_TIMING,0.9,1.000000
PHY,2012,B0,0.1,0.255000
PHY,2012,B0,0.2,0.435750
PHY,2012,B0,0.3,0.690000
PHY,2012,B0,0.4,0.760000
PHY,2012,B0,0.5,0.875750
PHY,2012,B0,0.6,0.892500
PHY,2012,B0,0.7,0.965000
PHY,2012,B0,0.8,1.000000
PHY,2012,B0,0.9,1.000000
PHY,2012,B1,0.1,0.169864
PHY,2012,B1,0.2,0.396163
PHY,2012,B1,0.3,0.605638
PHY,2012,B1,0.4,0.740990
PHY,2012,B1,0.5,0.811780
PHY,2012,B1,0.6,0.860563
PHY,2012,B1,0.7,0.946827
PHY,2012,B1,0.8,0.995680
PHY,2012,B1,0.9,1.000000
PHY,2012,S1,0.1,0.169864
PHY,2012,S1,0.2,0.396163
PHY,2012,S1,0.3,0.555750
PHY,2012,S1,0.4,0.723250
PHY,2012,S1,0.5,0.858250
PHY,2012,S1,0.6,0.875750
PHY,2012,S1,0.7,0.943550
PHY,2012,S1,0.8,1.000000
PHY,2012,S1,0.9,1.000000
PHY,2012,S2,0.1,0.141750
PHY,2012,S2,0.2,0.311614
PHY,2012,S2,0.3,0.518782
PHY,2012,S2,0.4,0.713655
PHY,2012,S2,0.5,0.847740
PHY,2012,S2,0.6,0.902025
PHY,2012,S2,0.7,0.969125
PHY,2012,S2,0.8,0.992878
PHY,2012,S2,0.9,1.000000
PHY,2012,M2,0.1,0.159182
PHY,2012,M2,0.2,0.365169
PHY,2012,M2,0.3,0.555750
PHY,2012,M2,0.4,0.672057
PHY,2012,M2,0.5,0.796495
PHY,2012,M2,0.6,0.863550
PHY,2012,M2,0.7,0.967328
PHY,2012,M2,0.8,1.000000
PHY,2012,M2,0.9,1.000000
PHY,2012,M3,0.1,0.132496
PHY,2012,M3,0.2,0.347866
PHY,2012,M3,0.3,0.555750
PHY,2012,M3,0.4,0.762421
PHY,2012,M3,0.5,0.830750
PHY,2012,M3,0.6,0.869812
PHY,2012,M3,0.7,0.893250
PHY,2012,M3,0.8,0.996591
PHY,2012,M3,0.9,1.000000
PHY,2012,RANDOM,0.1,0.140730
PHY,2012,RANDOM,0.2,0.326984
PHY,2012,RANDOM,0.3,0.487817
PHY,2012,RANDOM,0.4,0.630575
PHY,2012,RANDOM,0.5,0.745119
PHY,2012,RANDOM,0.6,0.823815
PHY,2012,RANDOM,0.7,0.908998
PHY,2012,RANDOM,0.8,0.965581
PHY,2012,RANDOM,0.9,0.993192
PHY,2012,RANDOM_ALL_COMPULSORY,0.1,0.076987
PHY,2012,RANDOM_ALL_COMPULSORY,0.2,0.183234
PHY,2012,RANDOM_ALL_COMPULSORY,0.3,0.287517
PHY,2012,RANDOM_ALL_COMPULSORY,0.4,0.392448
PHY,2012,RANDOM_ALL_COMPULSORY,0.5,0.495299
PHY,2012,RANDOM_ALL_COMPULSORY,0.6,0.572997
PHY,2012,RANDOM_ALL_COMPULSORY,0.7,0.680407
PHY,2012,RANDOM_ALL_COMPULSORY,0.8,0.784644
PHY,2012,RANDOM_ALL_COMPULSORY,0.9,0.882340
PHY,2012,NESTED_TIMING,0.1,0.169864
PHY,2012,NESTED_TIMING,0.2,0.396163
PHY,2012,NESTED_TIMING,0.3,0.555750
PHY,2012,NESTED_TIMING,0.4,0.723250
PHY,2012,NESTED_TIMING,0.5,0.858250
PHY,2012,NESTED_TIMING,0.6,0.875750
PHY,2012,NESTED_TIMING,0.7,0.943550
PHY,2012,NESTED_TIMING,0.8,1.000000
PHY,2012,NESTED_TIMING,0.9,1.000000
PHY,2013,B0,0.1,0.153500
PHY,2013,B0,0.2,0.303250
PHY,2013,B0,0.3,0.425750
PHY,2013,B0,0.4,0.443250
PHY,2013,B0,0.5,0.567750
PHY,2013,B0,0.6,0.676000
PHY,2013,B0,0.7,0.774500
PHY,2013,B0,0.8,0.852000
PHY,2013,B0,0.9,1.000000
PHY,2013,B1,0.1,0.169381
PHY,2013,B1,0.2,0.371933
PHY,2013,B1,0.3,0.543507
PHY,2013,B1,0.4,0.699750
PHY,2013,B1,0.5,0.806483
PHY,2013,B1,0.6,0.884191
PHY,2013,B1,0.7,0.900000
PHY,2013,B1,0.8,0.916300
PHY,2013,B1,0.9,0.974200
PHY,2013,S1,0.1,0.169381
PHY,2013,S1,0.2,0.371933
PHY,2013,S1,0.3,0.595750
PHY,2013,S1,0.4,0.673250
PHY,2013,S1,0.5,0.850750
PHY,2013,S1,0.6,0.884250
PHY,2013,S1,0.7,0.900000
PHY,2013,S1,0.8,0.900000
PHY,2013,S1,0.9,1.000000
PHY,2013,S2,0.1,0.099250
PHY,2013,S2,0.2,0.192507
PHY,2013,S2,0.3,0.284250
PHY,2013,S2,0.4,0.538790
PHY,2013,S2,0.5,0.733814
PHY,2013,S2,0.6,0.870750
PHY,2013,S2,0.7,0.974681
PHY,2013,S2,0.8,1.000000
PHY,2013,S2,0.9,1.000000
PHY,2013,M2,0.1,0.189096
PHY,2013,M2,0.2,0.406758
PHY,2013,M2,0.3,0.595750
PHY,2013,M2,0.4,0.703623
PHY,2013,M2,0.5,0.824000
PHY,2013,M2,0.6,0.873146
PHY,2013,M2,0.7,0.900000
PHY,2013,M2,0.8,0.900000
PHY,2013,M2,0.9,0.900000
PHY,2013,M3,0.1,0.245426
PHY,2013,M3,0.2,0.427954
PHY,2013,M3,0.3,0.595750
PHY,2013,M3,0.4,0.764213
PHY,2013,M3,0.5,0.846523
PHY,2013,M3,0.6,0.884250
PHY,2013,M3,0.7,0.900000
PHY,2013,M3,0.8,0.900000
PHY,2013,M3,0.9,0.936200
PHY,2013,RANDOM,0.1,0.141662
PHY,2013,RANDOM,0.2,0.320707
PHY,2013,RANDOM,0.3,0.472304
PHY,2013,RANDOM,0.4,0.605640
PHY,2013,RANDOM,0.5,0.727289
PHY,2013,RANDOM,0.6,0.804043
PHY,2013,RANDOM,0.7,0.899330
PHY,2013,RANDOM,0.8,0.965780
PHY,2013,RANDOM,0.9,0.994335
PHY,2013,RANDOM_ALL_COMPULSORY,0.1,0.078369
PHY,2013,RANDOM_ALL_COMPULSORY,0.2,0.185036
PHY,2013,RANDOM_ALL_COMPULSORY,0.3,0.289396
PHY,2013,RANDOM_ALL_COMPULSORY,0.4,0.395135
PHY,2013,RANDOM_ALL_COMPULSORY,0.5,0.500502
PHY,2013,RANDOM_ALL_COMPULSORY,0.6,0.579764
PHY,2013,RANDOM_ALL_COMPULSORY,0.7,0.687134
PHY,2013,RANDOM_ALL_COMPULSORY,0.8,0.790737
PHY,2013,RANDOM_ALL_COMPULSORY,0.9,0.893731
PHY,2013,NESTED_TIMING,0.1,0.169381
PHY,2013,NESTED_TIMING,0.2,0.371933
PHY,2013,NESTED_TIMING,0.3,0.595750
PHY,2013,NESTED_TIMING,0.4,0.673250
PHY,2013,NESTED_TIMING,0.5,0.850750
PHY,2013,NESTED_TIMING,0.6,0.884250
PHY,2013,NESTED_TIMING,0.7,0.900000
PHY,2013,NESTED_TIMING,0.8,0.900000
PHY,2013,NESTED_TIMING,0.9,1.000000
PHY,2014,B0,0.1,0.173000
PHY,2014,B0,0.2,0.416750
PHY,2014,B0,0.3,0.649000
PHY,2014,B0,0.4,0.684000
PHY,2014,B0,0.5,0.740000
PHY,2014,B0,0.6,0.822500
PHY,2014,B0,0.7,0.875000
PHY,2014,B0,0.8,0.982500
PHY,2014,B0,0.9,1.000000
PHY,2014,B1,0.1,0.239110
PHY,2014,B1,0.2,0.546635
PHY,2014,B1,0.3,0.705995
PHY,2014,B1,0.4,0.814645
PHY,2014,B1,0.5,0.893370
PHY,2014,B1,0.6,0.951310
PHY,2014,B1,0.7,0.985000
PHY,2014,B1,0.8,0.999085
PHY,2014,B1,0.9,1.000000
PHY,2014,S1,0.1,0.239110
PHY,2014,S1,0.2,0.546635
PHY,2014,S1,0.3,0.756430
PHY,2014,S1,0.4,0.894000
PHY,2014,S1,0.5,0.909000
PHY,2014,S1,0.6,0.944000
PHY,2014,S1,0.7,1.000000
PHY,2014,S1,0.8,1.000000
PHY,2014,S1,0.9,1.000000
PHY,2014,S2,0.1,0.154245
PHY,2014,S2,0.2,0.214500
PHY,2014,S2,0.3,0.452315
PHY,2014,S2,0.4,0.727719
PHY,2014,S2,0.5,0.867225
PHY,2014,S2,0.6,0.916285
PHY,2014,S2,0.7,0.973225
PHY,2014,S2,0.8,1.000000
PHY,2014,S2,0.9,1.000000
PHY,2014,M2,0.1,0.241395
PHY,2014,M2,0.2,0.543318
PHY,2014,M2,0.3,0.721500
PHY,2014,M2,0.4,0.865725
PHY,2014,M2,0.5,0.941500
PHY,2014,M2,0.6,0.980715
PHY,2014,M2,0.7,1.000000
PHY,2014,M2,0.8,1.000000
PHY,2014,M2,0.9,1.000000
PHY,2014,M3,0.1,0.246397
PHY,2014,M3,0.2,0.541390
PHY,2014,M3,0.3,0.773765
PHY,2014,M3,0.4,0.909000
PHY,2014,M3,0.5,0.935303
PHY,2014,M3,0.6,0.944000
PHY,2014,M3,0.7,1.000000
PHY,2014,M3,0.8,1.000000
PHY,2014,M3,0.9,1.000000
PHY,2014,RANDOM,0.1,0.142441
PHY,2014,RANDOM,0.2,0.329007
PHY,2014,RANDOM,0.3,0.488674
PHY,2014,RANDOM,0.4,0.622067
PHY,2014,RANDOM,0.5,0.745408
PHY,2014,RANDOM,0.6,0.820440
PHY,2014,RANDOM,0.7,0.914794
PHY,2014,RANDOM,0.8,0.967962
PHY,2014,RANDOM,0.9,0.994008
PHY,2014,RANDOM_ALL_COMPULSORY,0.1,0.077960
PHY,2014,RANDOM_ALL_COMPULSORY,0.2,0.185064
PHY,2014,RANDOM_ALL_COMPULSORY,0.3,0.288736
PHY,2014,RANDOM_ALL_COMPULSORY,0.4,0.390203
PHY,2014,RANDOM_ALL_COMPULSORY,0.5,0.500378
